state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0.3777934727399153	0.48954389597623443	0.005367285374928852	0.03625884871156321	2.6876767782999114E-6	6.135654057055816E-4	4.9622604453312564E-5	2.2026803604675572E-8	0.0	0.0	0.0	0.012180864436267843	0.06504789782455772	0.0	0.012587390837633817	5.544463851581949E-4
2	0.1477397218492781	0.41280951132771226	0.015109475152529415	0.12966087914655636	0.0010964169956418613	4.526867415303888E-4	5.481355994664503E-5	1.0576907009451908E-5	0.11391142467819836	0.006986393255623123	0.0	0.004615716546207912	0.15584826137079313	0.004376480867451264	0.006901054322126644	4.265872793951273E-4
3	0.004578800717451681	0.04440417966680137	0.41932030530822145	5.56368695423442E-5	0.0	1.4961251692335648E-6	0.0	0.0011412679925550658	9.338427129915128E-7	0.37020778668552323	0.03411184338366721	0.014752249451767476	0.0	0.1088525734667705	0.002572926489817318	0.0
4	0.004792291258434635	0.07072608368757946	0.0	0.42946222926824346	0.0571103578059782	0.0046365504735215194	3.2615318049556044E-5	3.5074070031635454E-4	0.4178637091875081	0.0	0.0	0.0	0.0	0.014665096292806167	3.6032600756252787E-4	0.0
5	3.5786395592677572E-6	2.5300386209858397E-5	0.0	0.002278773000946817	0.9942182853679759	7.640859481539171E-4	1.5764464229499236E-4	0.0021894847396410158	1.226833580628306E-6	3.2009850856314325E-6	0.0	0.0	9.623293911575438E-5	2.1897435034686505E-4	3.175682672665736E-5	1.1455340362558985E-5
6	4.087338128779217E-4	0.0010333892567314991	8.135408323149062E-4	0.012733820195393028	0.05237817076119699	0.9105641311318375	0.0	0.005070326678840249	0.0	0.010897250482429103	1.2974254748634252E-4	0.0	2.0292360614947936E-4	0.005753030222332213	0.0	1.4940472410707374E-5
7	0.0020655288910746347	0.0	0.0	0.0035486114786684162	0.1722428483804275	0.023624143654611424	0.44384667692976765	0.08500424802245737	0.22161201929488794	0.028309761514113664	0.005590205049830603	0.0	0.007129009997940279	0.005284032348724851	0.0017429144374956705	0.0
8	0.0	0.0	1.8879175344449695E-4	8.565070783560053E-4	0.0832426103207615	0.002801548679177036	0.0032641257479750886	0.8359168879868448	0.061972175007301615	0.00872233291304613	2.346092667084044E-4	0.0	0.002689932986851728	1.1047825953314707E-4	0.0	0.0
9	0.0	0.00355300613694414	0.0	0.024814860462108106	2.572166041036832E-6	0.0	3.688788542349546E-4	0.0024789689341063836	0.9545002867608683	0.0039822428231460864	0.0	0.0	0.008168008487764679	0.0018815291448808762	8.900262110161309E-5	1.606436088038643E-4
10	0.0	0.0010097233881113388	0.018629887337562972	0.0	3.0822857652197116E-5	0.0011291714044847068	2.850621538377415E-4	0.0010649411226561296	0.01763820927775512	0.9074991196904019	0.037504334857449716	0.0015751773191279657	0.006729040410737913	0.005831993394016017	0.0	0.0010725167862061906
11	0.0	0.0	0.003496457888275411	0.0	0.0	3.0149786542645185E-5	0.0	2.0290206290531047E-4	0.0	0.08270152833552806	0.8964802884794257	0.014621620056406688	0.0	0.0011239314598836456	0.0	0.001343121931032426
12	0.014184212317659279	0.015949190490351983	0.019184819419281553	0.0	0.0	0.0	0.0	0.0	0.0	0.054761757587318396	0.17641141254362744	0.6609309450263251	0.023866688968090174	0.012834075719579976	0.015394318458572791	0.006482579469193407
13	0.015589818520337332	0.1447514972823852	0.0	0.0	0.0040044059674140655	3.728117316653067E-4	2.90704060170123E-4	0.003026949075564299	0.22746291611290012	0.040709999104226555	0.0	0.0053918205463754565	0.5393693332219169	0.005033933686060716	0.013995810690983846	0.0
14	0.0	0.011965452302918048	0.08449810549167448	0.05454797506706461	0.023045178634066844	0.005903664977604234	9.542547587673216E-4	3.116702165115914E-4	0.12709501601649187	0.08149814040728592	0.00751594745449446	0.004053062795125622	0.01011820810665935	0.2740440367935959	0.31133295178293624	0.003116335194803418
15	0.011884807971560324	0.012913204595027502	0.004836333081013481	0.0	0.00308184946583377	0.0	1.7942944168390632E-4	0.0	0.0056735011470042595	0.0	0.0	0.010067695100404726	0.03490095393889531	0.42412487848599173	0.492337346772585	0.0
16	5.684428552931365E-4	0.003353930631848844	9.755147779554077E-4	0.001110244250920567	0.002774451825937196	0.0	5.18622960801307E-4	0.0	0.04573637772095532	0.04515565290502915	0.029940026900653928	0.010767960418622869	0.005436639193555384	0.009007654370861434	0.0	0.8446544811875655
