16	8	E	-2151012.512463374	200
transitionprobs	10	11	0.037504334857449716
transitionprobs	10	12	0.0015751773191279657
transitionprobs	10	13	0.006729040410737913
transitionprobs	10	14	0.005831993394016017
transitionprobs	10	15	0.0
transitionprobs	10	16	0.0010725167862061906
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.003496457888275411
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	3.0149786542645185E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	2.0290206290531047E-4
transitionprobs	11	9	0.0
transitionprobs	11	10	0.08270152833552806
transitionprobs	11	11	0.8964802884794257
transitionprobs	11	12	0.014621620056406688
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0011239314598836456
transitionprobs	11	15	0.0
transitionprobs	11	16	0.001343121931032426
transitionprobs	12	1	0.014184212317659279
transitionprobs	12	2	0.015949190490351983
transitionprobs	12	3	0.019184819419281553
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.054761757587318396
transitionprobs	12	11	0.17641141254362744
transitionprobs	12	12	0.6609309450263251
transitionprobs	12	13	0.023866688968090174
transitionprobs	12	14	0.012834075719579976
transitionprobs	12	15	0.015394318458572791
transitionprobs	12	16	0.006482579469193407
transitionprobs	13	1	0.015589818520337332
transitionprobs	13	2	0.1447514972823852
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0040044059674140655
transitionprobs	13	6	3.728117316653067E-4
transitionprobs	13	7	2.90704060170123E-4
transitionprobs	13	8	0.003026949075564299
transitionprobs	13	9	0.22746291611290012
transitionprobs	13	10	0.040709999104226555
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0053918205463754565
transitionprobs	13	13	0.5393693332219169
transitionprobs	13	14	0.005033933686060716
transitionprobs	13	15	0.013995810690983846
transitionprobs	13	16	0.0
transitionprobs	14	1	0.0
transitionprobs	14	2	0.011965452302918048
transitionprobs	14	3	0.08449810549167448
transitionprobs	14	4	0.05454797506706461
transitionprobs	14	5	0.023045178634066844
transitionprobs	14	6	0.005903664977604234
transitionprobs	14	7	9.542547587673216E-4
transitionprobs	14	8	3.116702165115914E-4
transitionprobs	14	9	0.12709501601649187
transitionprobs	14	10	0.08149814040728592
transitionprobs	14	11	0.00751594745449446
transitionprobs	14	12	0.004053062795125622
transitionprobs	14	13	0.01011820810665935
transitionprobs	14	14	0.2740440367935959
transitionprobs	14	15	0.31133295178293624
transitionprobs	14	16	0.003116335194803418
transitionprobs	15	1	0.011884807971560324
transitionprobs	15	2	0.012913204595027502
transitionprobs	15	3	0.004836333081013481
transitionprobs	15	4	0.0
transitionprobs	15	5	0.00308184946583377
transitionprobs	15	6	0.0
transitionprobs	15	7	1.7942944168390632E-4
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0056735011470042595
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.010067695100404726
transitionprobs	15	13	0.03490095393889531
transitionprobs	15	14	0.42412487848599173
transitionprobs	15	15	0.492337346772585
transitionprobs	15	16	0.0
transitionprobs	16	1	5.684428552931365E-4
transitionprobs	16	2	0.003353930631848844
transitionprobs	16	3	9.755147779554077E-4
transitionprobs	16	4	0.001110244250920567
transitionprobs	16	5	0.002774451825937196
transitionprobs	16	6	0.0
transitionprobs	16	7	5.18622960801307E-4
transitionprobs	16	8	0.0
transitionprobs	16	9	0.04573637772095532
